1509489921.84,IMD,Cidade da Esperança,UberSELECT,3.65,16.0,13.0,660,R$13-16,BRL
1509489924.98,IMD,Igapó,uberX,7.89,26.0,20.0,1560,R$20-26,BRL
1509489924.98,IMD,Igapó,UberSELECT,7.89,31.0,24.0,1560,R$24-31,BRL
1509489928.25,EC&T,Tirol,uberX,3.79,14.0,11.0,600,R$11-14,BRL
1509489928.25,EC&T,Tirol,UberSELECT,3.79,17.0,13.0,600,R$13-17,BRL
1509489931.02,EC&T,Candelária,uberX,2.55,11.0,8.0,600,R$8-11,BRL
1509489931.02,EC&T,Candelária,UberSELECT,2.55,13.0,10.0,600,R$10-13,BRL
1509489932.24,EC&T,Ribeira,uberX,5.96,20.0,16.0,1080,R$16-20,BRL
1509489932.24,EC&T,Ribeira,UberSELECT,5.96,24.0,19.0,1080,R$19-24,BRL
1509489933.43,EC&T,Santos Reis,uberX,7.57,24.0,19.0,1440,R$19-24,BRL
1509489933.43,EC&T,Santos Reis,UberSELECT,7.57,29.0,23.0,1440,R$23-29,BRL
1509489934.65,EC&T,Nova Descoberta,uberX,2.44,11.0,8.0,420,R$8-11,BRL
1509489934.65,EC&T,Nova Descoberta,UberSELECT,2.44,12.0,9.0,420,R$9-12,BRL
1509489936.03,EC&T,Nossa Senhora de Nazaré,uberX,3.5,14.0,10.0,600,R$10-14,BRL
1509489936.03,EC&T,Nossa Senhora de Nazaré,UberSELECT,3.5,16.0,12.0,600,R$12-16,BRL
1509489937.17,EC&T,Planalto,uberX,6.11,23.0,18.0,1320,R$18-23,BRL
1509489937.17,EC&T,Planalto,UberSELECT,6.11,27.0,21.0,1320,R$21-27,BRL
1509489939.93,EC&T,Cidade Nova,uberX,5.22,19.0,15.0,1020,R$15-19,BRL
1509489939.93,EC&T,Cidade Nova,UberSELECT,5.22,23.0,18.0,1020,R$18-23,BRL
1509489942.68,EC&T,Cidade da Esperança,uberX,4.13,15.0,12.0,780,R$12-15,BRL
1509489942.68,EC&T,Cidade da Esperança,UberSELECT,4.13,18.0,14.0,780,R$14-18,BRL
1509489943.9,EC&T,Igapó,uberX,8.35,30.0,23.0,1980,R$23-30,BRL
1509489943.9,EC&T,Igapó,UberSELECT,8.35,35.0,28.0,1980,R$28-35,BRL
1509490083.23,IMD,Tirol,uberX,3.3,13.0,10.0,600,R$10-13,BRL
1509490083.23,IMD,Tirol,UberSELECT,3.3,16.0,12.0,600,R$12-16,BRL
1509490084.65,IMD,Candelária,uberX,3.56,14.0,10.0,600,R$10-14,BRL
1509490084.65,IMD,Candelária,UberSELECT,3.56,16.0,12.0,600,R$12-16,BRL
1509490085.86,IMD,Ribeira,uberX,5.48,19.0,15.0,960,R$15-19,BRL
1509490085.86,IMD,Ribeira,UberSELECT,5.48,23.0,18.0,960,R$18-23,BRL
1509490089.03,IMD,Santos Reis,uberX,7.08,24.0,19.0,1320,R$19-24,BRL
1509490089.03,IMD,Santos Reis,UberSELECT,7.08,28.0,22.0,1320,R$22-28,BRL
1509490090.5,IMD,Nova Descoberta,uberX,1.29,8.0,6.0,300,R$6-8,BRL
1509490090.5,IMD,Nova Descoberta,UberSELECT,1.29,9.0,7.0,300,R$7-9,BRL
1509490091.79,IMD,Nossa Senhora de Nazaré,uberX,3.02,13.0,9.0,600,R$9-13,BRL
